"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Procedure.Shuffle.1","Response.RT"
"w10139896_iro","letter","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",15130
"w10141663MH","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",8823
"w10142111_AGS","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",5378
"w10158214_AL","play","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",6499
"w10158561PR","","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",822
"w10163667_kg","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",4357
"w10170329_cm","spell","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",5824
"w10170428_RG","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",3543
"w10171031","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",10393
"w10173870_tab","","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",9603
"w10175512_hmr","","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",2286
"w10179887cgs","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",5515
"w10180613_ajt","","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",20501
"w10180617_ckc","count","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",2354
"w10186913_mnr","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",9727
"w10187622_dab","play","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",1977
"W10193555-lhc","sentence","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",5422
"W791354JJ","party","sentence",1,"Read","word","Study1","F","Study Phase","Recall1",3814
"10120923LH","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1631
"10129650KM","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",3167
"10138868CH","lov","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1636
"10163652TLW","loving","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",4477
"10177695TW","","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",614
"10180633GS","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1669
"w10059303_oms","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",17684
"w10066961_rl","","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1304
"w10085218KGC","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",3955
"w10099070AB","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2807
"w10099139_AB","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",4270
"w10118240","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1731
"w10121373","","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1170
"w10139706","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2083
"w10140719_esr","","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",3138
"w10141507To","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",3959
"w10141560_FG","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",5710
"w10141665_ljd","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1426
"w10145939_jej","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1717
"w10146497_lmk","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2094
"w10147723_ifv","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1957
"w10154561DH","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2263
"w10157910IN","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2361
"w10161911MW","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",7162
"w10162598_SNJ","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2619
"w10166105PM","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1584
"w10167317_hms","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2268
"w1016751slc","love ","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",3778
"w10168496_hah","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2211
"w10181443km","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",1580
"w10188493_yjj","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",3326
"w10193069_sc","love","love",3,"Read","affection","Study1","F","Study Phase2","Recall2",2019
"10120923LH","water","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2432
"10129650KM","water","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2916
"10138868CH","neck","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2087
"10163652TLW","cap","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2176
"10177695TW","","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",578
"10180633GS","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2431
"w10059303_oms","wine","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2108
"w10066961_rl","","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1085
"w10085218KGC","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",13438
"w10099070AB","","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1079
"w10099139_AB","cap","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",3931
"w10118240","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2966
"w10121373","cap","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",4594
"w10139706","water","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1770
"w10140719_esr","drink","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2660
"w10141507To","water","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1772
"w10141560_FG","water","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1578
"w10141665_ljd","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1762
"w10145939_jej","baby","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",3067
"w10146497_lmk","cup","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2897
"w10147723_ifv","water","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2577
"w10154561DH","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1960
"w10157910IN","water","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2121
"w10161911MW","","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1790
"w10162598_SNJ","drink","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",7838
"w10166105PM","","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",1597
"w10167317_hms","","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",3074
"w1016751slc","baby ","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",3323
"w10168496_hah","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",4851
"w10181443km","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",4037
"w10188493_yjj","open","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",2726
"w10193069_sc","cry","cry",3,"Read","bottle","Study1","M","Study Phase2","Recall2",16915
"10120923LH","jump","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2431
"10129650KM","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",169
"10138868CH","ball","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1691
"10163652TLW","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",4201
"10177695TW","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",330
"10180633GS","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",868
"w10059303_oms","bat","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",9129
"w10066961_rl","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1292
"w10085218KGC","grace","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",11288
"w10099070AB","bat","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",8512
"w10099139_AB","up","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2297
"w10118240","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1517
"w10121373","hard","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2357
"w10139706","ball","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2267
"w10140719_esr","ball","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",4185
"w10141507To","meat","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",5132
"w10141560_FG","jump","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2319
"w10141665_ljd","bat","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1104
"w10145939_jej","back","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1880
"w10146497_lmk","ball","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2052
"w10147723_ifv","bald","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",9892
"w10154561DH","ball","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1794
"w10157910IN","house","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2565
"w10161911MW","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",4575
"w10162598_SNJ","back","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2908
"w10166105PM","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",763
"w10167317_hms","ball","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2123
"w1016751slc","ball ","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",3974
"w10168496_hah","bat","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1774
"w10181443km","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",1679
"w10188493_yjj","","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",2190
"w10193069_sc","ball","bat",3,"Read","bounce","Study1","M","Study Phase2","Recall2",16978
"10120923LH","swaure","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",4111
"10129650KM","dog","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",6395
"10138868CH","beach","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",13924
"10163652TLW","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",739
"10177695TW","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",576
"10180633GS","beach","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",2108
"w10059303_oms","belt","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",1633
"w10066961_rl","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",1204
"w10085218KGC","wooden","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",4517
"w10099070AB","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",934
"w10099139_AB","up","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",1878
"w10118240","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",2584
"w10121373","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",4092
"w10139706","hard","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",5020
"w10140719_esr","bridge","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",3019
"w10141507To","cutter","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",2319
"w10141560_FG","bird","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",30069
"w10141665_ljd","beach","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",1764
"w10145939_jej","move","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",3678
"w10146497_lmk","office","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",9454
"w10147723_ifv","bird","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",3317
"w10154561DH","empty","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",4387
"w10157910IN","phone","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",3424
"w10161911MW","litter","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",7509
"w10162598_SNJ","cutter","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",5442
"w10166105PM","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",885
"w10167317_hms","beach","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",4903
"w1016751slc","bird ","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",2501
"w10168496_hah","beach","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",1928
"w10181443km","soap","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",2490
"w10188493_yjj","","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",2524
"w10193069_sc","beach","beach",3,"Read","box","Study1","M","Study Phase2","Recall2",5589
"10120923LH","pie","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",2115
"10129650KM","eat","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",6746
"10138868CH","dirt","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",4458
"10163652TLW","hand","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",2208
"10177695TW","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",309
"10180633GS","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",1583
"w10059303_oms","birthday","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",4044
"w10066961_rl","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",1926
"w10085218KGC","sugar","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",11088
"w10099070AB","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",1185
"w10099139_AB","tower","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",3585
"w10118240","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",1169
"w10121373","hands","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",7069
"w10139706","pie","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",2861
"w10140719_esr","birthday","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",5733
"w10141507To","hand","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",4365
"w10141560_FG","ice","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",2959
"w10141665_ljd","hand","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",1626
"w10145939_jej","flour","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",4726
"w10146497_lmk","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",5696
"w10147723_ifv","clothes","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",3329
"w10154561DH","bake","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",4034
"w10157910IN","birthday","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",6208
"w10161911MW","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",7228
"w10162598_SNJ","sweet","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",7099
"w10166105PM","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",3155
"w10167317_hms","hand","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",2286
"w1016751slc","bake ","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",2879
"w10168496_hah","hand","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",1387
"w10181443km","hand","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",2461
"w10188493_yjj","","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",1216
"w10193069_sc","birthday","hand",3,"Read","cake","Study1","U","Study Phase2","Recall2",20078
"10120923LH","runnner","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",2463
"10129650KM","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",4164
"10138868CH","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3073
"10163652TLW","celeing","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",7981
"10177695TW","rug","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",1987
"10180633GS","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",6062
"w10059303_oms","rug","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",7984
"w10066961_rl","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",4520
"w10085218KGC","bristle","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",8063
"w10099070AB","","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",1239
"w10099139_AB","tunnel","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",16355
"w10118240","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",2821
"w10121373","rough","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",2662
"w10139706","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",7153
"w10140719_esr","floor","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3209
"w10141507To","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3040
"w10141560_FG","floor","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",2006
"w10141665_ljd","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",1758
"w10145939_jej","soft","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",2367
"w10146497_lmk","ceiling ","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",15850
"w10147723_ifv","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",4873
"w10154561DH","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3342
"w10157910IN","floor","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3175
"w10161911MW","rug","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3966
"w10162598_SNJ","rug","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",2860
"w10166105PM","","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",778
"w10167317_hms","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3393
"w1016751slc","soft ","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",5274
"w10168496_hah","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3403
"w10181443km","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",3383
"w10188493_yjj","","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",1137
"w10193069_sc","ceiling","ceiling",3,"Read","carpet","Study1","M","Study Phase2","Recall2",5261
"10120923LH","picker","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2733
"10129650KM","candy","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",3584
"10138868CH","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2101
"10163652TLW","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2057
"10177695TW","","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",505
"10180633GS","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2546
"w10059303_oms","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2720
"w10066961_rl","","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",1891
"w10085218KGC","","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",7163
"w10099070AB","ball","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",3010
"w10099139_AB","clump","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",5144
"w10118240","","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2080
"w10121373","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",4178
"w10139706","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",4840
"w10140719_esr","rough","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",5368
"w10141507To","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2134
"w10141560_FG","candy","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",3362
"w10141665_ljd","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2614
"w10145939_jej","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2185
"w10146497_lmk","","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",4090
"w10147723_ifv","ball","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",4394
"w10154561DH","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",1629
"w10157910IN","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2508
"w10161911MW","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",6261
"w10162598_SNJ","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2394
"w10166105PM","","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",1042
"w10167317_hms","ball","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2098
"w1016751slc","candy ","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",3774
"w10168496_hah","soft","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",2859
"w10181443km","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",1789
"w10188493_yjj","","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",1412
"w10193069_sc","hard","hard",3,"Read","cotton","Study1","M","Study Phase2","Recall2",4279
"10120923LH","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2252
"10129650KM","","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",484
"10138868CH","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",1728
"10163652TLW","election","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",5472
"10177695TW","snap","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",10619
"10180633GS","elective","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",6687
"w10059303_oms","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2440
"w10066961_rl","extension","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",7651
"w10085218KGC","crumb","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",11745
"w10099070AB","","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",768
"w10099139_AB","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2502
"w10118240","","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2034
"w10121373","corn","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",5188
"w10139706","whip","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",5502
"w10140719_esr","","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",1856
"w10141507To","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2550
"w10141560_FG","noise","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2028
"w10141665_ljd","election","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",1889
"w10145939_jej","snap","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",5191
"w10146497_lmk","election","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",3643
"w10147723_ifv","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",5683
"w10154561DH","cop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",5067
"w10157910IN","election","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",4758
"w10161911MW","explode","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",15646
"w10162598_SNJ","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",32753
"w10166105PM","","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",691
"w10167317_hms","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2414
"w1016751slc","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",4285
"w10168496_hah","pop","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",2026
"w10181443km","","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",1754
"w10188493_yjj","","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",1309
"w10193069_sc","fire","election",3,"Read","crackle","Study1","U","Study Phase2","Recall2",6749
"10120923LH","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1576
"10129650KM","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",3734
"10138868CH","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1620
"10163652TLW","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2115
"10177695TW","","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",348
"10180633GS","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1796
"w10059303_oms","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1623
"w10066961_rl","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",3373
"w10085218KGC","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",3593
"w10099070AB","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2383
"w10099139_AB","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",22798
"w10118240","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1798
"w10121373","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1550
"w10139706","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1487
"w10140719_esr","cardx","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1871
"w10141507To","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2246
"w10141560_FG","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1456
"w10141665_ljd","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1240
"w10145939_jej","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1559
"w10146497_lmk","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2001
"w10147723_ifv","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1854
"w10154561DH","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1636
"w10157910IN","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1654
"w10161911MW","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2713
"w10162598_SNJ","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",3666
"w10166105PM","","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",848
"w10167317_hms","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2037
"w1016751slc","card ","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2450
"w10168496_hah","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1467
"w10181443km","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",2153
"w10188493_yjj","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",3011
"w10193069_sc","card","card",3,"Read","credit","Study1","F","Study Phase2","Recall2",1750
"10120923LH","monkey","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",3047
"10129650KM","party","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",3054
"10138868CH","happy","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",4927
"10163652TLW","","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",935
"10177695TW","","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",341
"10180633GS","circle","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",1907
"w10059303_oms","stretch","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",15554
"w10066961_rl","circle","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",5861
"w10085218KGC","leg","circle",3,"Read","dance","Study1","M","Study Phase2","Recall2",3937
